²ÜÖíÍ·	62	75.5	137.5
²ÜÔÆÃú	64	76.8	140.8
²ÜÔÆÃÎ	24	76.8	100.8
²ÜÇ§Ñ°	74	95.3	169.3
²ÜÔóØÜ	61	81.5	142.5
²ÜÐÂéª	64	84.4	148.4
²Ü½ø²©	24.5	84.7	109.2
²Ü´»²©	24	95.3	119.3
²ÜºìÐÇ	62.5	76.6	139.1
²Ü´ïÃ÷	22	79.1	101.1
²Üè÷ö©	20	94.5	114.5
²ÜÕäÖñ	24	70.9	94.9
²ÜÊ÷ÐÂ	62	78.8	140.8
²ÜÑÞ»ª	62.5	81.5	144.0
²ÜºìÐñ	24	79.5	103.5
²Ü¾ûÔÃ	88	86.6	174.6
²ÜË¼Ò«	70	82.0	152.0
²ÜÒ»÷ë	75	89.3	164.3
²ÜÇìÏè	64.5	84.7	149.2
²ÜÀÉÈ»	74	95.3	169.3
²ÜÑ©Èç	62.5	79.8	142.3
²Ü¿¡º­	20	87.2	107.2
²Ü¶°Áº	20	86.6	106.6
²ÜÓ¢½Ü	20	94.5	114.5
²ÜÑà×Ó	62	73.6	135.6
²ÜÔÆ¶ä	22.5	73.5	96.0
²ÜºÉÝ¸	24	84.4	108.4
²Ü¾²Ü¿	66	72.7	138.7
²Ü¿æº­	20	82.2	102.2
²Ü¿¡ºì	22.5	76.6	99.1
²Ü¿¡ºÀ	20	79.7	99.7
²Ü½ñÏª	22.5	73.5	96.0
²ÜÊÀÁá	76	90.5	166.5
²Ü¾ûÔ¿	90.5	82.1	172.6
²Ü¿¡ºØ	20	87.2	107.2
²Ü½Ôº­	20	87.2	107.2
²Ü¾ªÉã	24	89.6	113.6
²ÜÈôº²	22.5	85.4	107.9
²Ü²©éD	60	68.9	128.9
²Ü¿¡ºê	24	70.9	94.9
²ÜÈÙ¹ú	24	94.8	118.8
²ÜÑÞÃ·	64	90.9	154.9
²Ü¾²	93.5	70.5	164.0
²ÜµÇ	60	78.7	138.7
²ÜÓÀÝæ	22	76.0	98.0
²ÜÕÜå«	20	70.2	90.2
²ÜÑ©¾ü	20	76.9	96.9
²Ü‚ÆÑô	97.5	79.9	177.4
²Ü¿Ñº­	64.5	72.6	137.1
²ÜµÏ	60	78.7	138.7
²ÜÒ»±ò	60	81.8	141.8
²ÜµÛ	60	67.2	127.2
²ÜÑåË«	62.5	81.1	143.6
²Ü²©¿£	20	86.6	106.6
²ÜµÒ	63	83.5	146.5
²ÜÕýÄÜ	74.5	80.5	155.0
²Ü¾§	60	78.7	138.7
²Üçþ	95	88.6	183.6
²Ü³ÝÏª	22	85.8	107.8
²Ü¾ì	20	91.2	111.2
²ÜÈïÈï	25	75.1	100.1
²ÜÈÙ¹ó	24	85.0	109.0
²Üµ°	60	91.2	151.2
²Ü¾þ	88	75.9	163.9
²Ü¾ý	23.5	82.7	106.2
²ÜÔó¿ª	21	81.5	102.5
²Ü»ÛÃÀ	22	85.5	107.5
²ÜÐÂÑó	60	92.7	152.7
²Ü³É³¼	89	86.3	175.3
²ÜÔó¿­	21	81.5	102.5
²Üº­ÔÃ	60	86.6	146.6
²Üº­ÔÏ	60	88.6	148.6
²ÜèäÕÜ	20	70.7	90.7
²Ü¾ê	20	75.9	95.9
²Ü¾ü	20	67.2	87.2
²Ü¾é	23	70.2	93.2
²Ü¸ðÈ»	64.5	84.7	149.2
²ÜÔó¿¬	21	69.2	90.2
²Üº­Ôó	20	81.2	101.2
²ÜÈôºÀ	24	94.6	118.6
²ÜÐÂÑå	60	91.9	151.9
²ÜÈ½±ù	22	89.3	111.3
²Üº­»¶	20	76.9	96.9
²Ü¾Á	23	83.5	106.5
²ÜÎÀÈ»	99.5	84.7	184.2
²ÜÀðÏÊ	75	88.6	163.6
²ÜÝ·È»	64	95.3	159.3
²ÜÄþÄþ	62.5	79.9	142.4
²ÜÈ»Ìì	74	78.1	152.1
²Üè©³Ê	62	83.1	145.1
²Ü½£Æ½	62	74.3	136.3
²ÜÖ¾Á»	21	73.1	94.1
²ÜÀ´È»	71	75.5	146.5
²ÜÊ¿½Ü	64	95.3	159.3
²ÜÖ¾Áº	63.5	78.7	142.2
²ÜÍñÁÕ	60	88.4	148.4
²Üì³·Ò	20	83.9	103.9
²ÜÖ¾Á¼	61	81.0	142.0
²ÜÑî·«	20	81.5	101.5
²ÜÖ®Ô£	72.5	71.8	144.3
²Ü¹ú·å	20	96.4	116.4
²Ü°²°²	94	75.0	169.0
²Ü¼Î°Ô	24	96.0	120.0
²ÜÃ¼º­	20	87.2	107.2
²ÜºêìÇ	21	87.1	108.1
²Ü¶«Éú	61	88.0	149.0
²ÜÊïÈ½	61	81.1	142.1
²ÜÑÇÇï	98.5	79.1	177.6
²ÜÖæÎ®	61	83.9	144.9
²Üèº÷ë	60	90.4	150.4
²ÜÛÚ	100.5	90.1	190.6
²ÜÖ¾Áè	63.5	77.9	141.4
²Ü×Úº­	61	75.5	136.5
²ÜÖÇåð	20	81.2	101.2
²ÜÁ¼²©	21	79.7	100.7
²Üçô¿µ	20	76.5	96.5
²ÜÌÃ»ª	64	94.6	158.6
²Ü¾æÈ»	60	87.2	147.2
²Ü´ÂÈ»	74	85.0	159.0
²ÜÍñÁá	75	96.4	171.4
²Ü¹ú·½	24	94.2	118.2
²ÜÎÄ½Ü	24	78.8	102.8
²Ü½õìª	62	67.6	129.6
²Üäù	25.5	70.5	96.0
²ÜÖ¾ÁÉ	65	80.0	145.0
²ÜÏãÒÁ	64	79.5	143.5
²ÜÐÇÜ²	95	87.4	182.4
²ÜöÎÂ¤	72.5	78.4	150.9
²ÜÊõ²©	20	94.5	114.5
²Üºè²©	21	81.5	102.5
²Ü»¦È»	64.5	84.7	149.2
²ÜÍû±ò	20	90.9	110.9
²Üäò	20	91.3	111.3
²ÜÓñÓ¢	26	81.5	107.5
²ÜºÆÓê	20	83.0	103.0
²ÜºÆÓð	62.5	79.8	142.3
²ÜºÆÓî	62.5	79.8	142.3
²Üæ¼²©	20	94.5	114.5
²Ü×ÓÛë	60	89.1	149.1
²Ü²©ÌÒ	20	83.9	103.9
²Ü²©ÌÚ	20	82.7	102.7
²Ü²©ÌÔ	20	81.4	101.4
²ÜÑ©¶¬	24	85.4	109.4
²Ü¼ÎÈð	62.5	79.9	142.4
²ÜÓ¢Àö	20	76.4	96.4
²ÜäÞ	20	82.9	102.9
²ÜÏí²©	21	75.5	96.5
²Ü´ºÆ½	60	75.9	135.9
²ÜÒÕÓ±	22.5	90.4	112.9
²ÜÒÕÓ¨	24	83.3	107.3
²Üè÷Õæ	60	96.4	156.4
²Ü²©Ìì	24	78.1	102.1
²Ü²©Ì³	62.5	72.3	134.8
²ÜÊ«Ñô	95	75.0	170.0
²ÜÔØÓæ	62.5	79.9	142.4
²ÜÊ«ÑÅ	64	95.3	159.3
²Üè÷Õþ	20	83.0	103.0
²Ü²©ÌØ	20	83.9	103.9
²Ü²©ÌÃ	60	86.6	146.6
²Üè÷ÕÜ	20	96.4	116.4
²ÜÃ÷¿¡	23.5	79.1	102.6
²Ü¼ÎÈ»	64	85.0	149.0
²Üˆ²©	60	87.2	147.2
²Ü²©ÌÎ	20	68.9	88.9
²ÜÏòÈ»	64.5	81.7	146.2
²Ü²©ÌÏ	24	76.8	100.8
²Ü²©Ìú	60	78.6	138.6
²ÜÉ¬ä¿	24.5	72.6	97.1
²Üº­Òâ	64	86.5	150.5
²Ü²©Ì¹	60	69.5	129.5
²ÜºñÕþ	22.5	75.5	98.0
²ÜÐÀÊæ	61	75.5	136.5
²ÜÃÊ²©	21	69.7	90.7
²Ü¿¥³¼	89	81.2	170.2
²Ü½ðÒË	65	83.2	148.2
